step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,4.0,0.8,7.431465939209039,2,4.0,0.561138379999456,2,4.0
30.0,5,43.0,4.777777777777778,4.272932115633318,5,43.0,0.224136042226021,5,43.0
45.0,6,64.0,5.818181818181818,5.09980610074744,6,64.0,0.24676276991649024,6,64.0
60.0,6,115.0,8.846153846153847,5.554005957602103,6,115.0,0.26607267232942305,6,115.0
75.0,5,104.0,6.933333333333334,6.180648561890306,5,115.0,0.3079983962641616,5,115.0
90.0,4,51.0,3.642857142857143,6.494689118393316,4,62.0,0.31180064587929857,4,62.0
105.0,8,104.0,8.0,4.011864015869985,8,115.0,0.15394633399154417,8,115.0
120.0,7,130.0,8.125,5.485703050732677,7,132.0,0.220553093664259,7,132.0
135.0,9,161.0,10.0625,3.865295998842897,9,161.0,0.1719829713409622,9,161.0
150.0,8,151.0,9.4375,6.038722021132986,8,151.0,0.2568329219022868,8,151.0
165.0,8,148.0,10.571428571428571,5.651791941157781,8,148.0,0.25738512231456684,8,148.0
180.0,6,99.0,6.6,5.5902081050177275,6,110.0,0.23352019952249756,6,110.0
195.0,8,135.0,8.4375,5.042382864803396,8,146.0,0.18724218777219526,8,146.0
210.0,8,169.0,10.5625,4.576052845501138,8,180.0,0.19409132804507193,8,180.0
225.0,6,154.0,10.266666666666667,4.665371728249906,6,154.0,0.1667060454237933,6,154.0
240.0,9,154.0,10.266666666666667,3.579314759383954,9,154.0,0.13576773694128408,9,154.0
255.0,11,281.0,15.61111111111111,4.082015713473478,11,281.0,0.14378948191725094,11,281.0
270.0,5,212.0,11.777777777777779,6.806800684314094,5,256.0,0.2793843443861794,5,256.0
285.0,6,48.0,3.0,5.391547540073464,6,125.0,0.2588214696603326,6,125.0
300.0,11,162.0,10.125,2.718725699721198,11,239.0,0.1585795217114918,11,239.0
315.0,7,147.0,7.35,4.954101935616476,7,224.0,0.2300582755509928,7,224.0
330.0,8,75.0,3.9473684210526314,4.730514231290019,8,180.0,0.20350554595692044,8,180.0
345.0,7,104.0,5.777777777777778,4.92310955268691,7,197.0,0.19769761843210829,7,197.0
360.0,11,166.0,9.222222222222221,4.112196785480056,11,259.0,0.18679925550586193,11,259.0
375.0,11,176.0,8.8,3.9419456825394734,11,249.0,0.1640811700816181,11,249.0
390.0,12,250.0,11.904761904761905,3.287014989761926,12,344.0,0.15252803284110378,12,344.0
405.0,12,215.0,10.238095238095237,3.921222494907277,12,292.0,0.17680012343599408,12,292.0
420.0,12,284.0,13.523809523809524,3.257850718192835,12,364.0,0.12834229121690885,12,364.0
435.0,16,405.0,18.40909090909091,2.4905138653092327,16,480.0,0.0727809664940286,16,480.0
450.0,12,267.0,11.608695652173912,4.305463377899316,12,415.0,0.17816855991472166,12,415.0
465.0,15,257.0,11.173913043478262,2.8450759187962245,15,419.0,0.10308579891957279,15,419.0
480.0,11,179.0,7.458333333333333,3.77981418665059,11,467.0,0.16584369039462138,11,467.0
495.0,9,134.0,5.583333333333333,4.063396443111986,9,298.0,0.16323754148857217,9,298.0
510.0,15,256.0,11.130434782608695,2.910132181108722,15,420.0,0.08631494529722322,15,420.0
525.0,14,315.0,13.695652173913043,3.039384554274891,14,443.0,0.10937790376321747,14,443.0
540.0,11,272.0,12.363636363636363,4.218004736763877,11,405.0,0.17528963687786894,11,405.0
555.0,14,451.0,22.55,3.4402979618449856,14,491.0,0.132376112154027,14,491.0
570.0,15,649.0,30.904761904761905,3.467597744902465,15,689.0,0.15789279019598706,15,689.0
585.0,7,172.0,7.818181818181818,3.9985663951655535,7,532.0,0.15411412536050897,7,532.0
600.0,9,238.0,11.9,6.043178297110443,9,283.0,0.29843212987773776,9,283.0
615.0,8,111.0,5.842105263157895,5.0963410179442645,8,180.0,0.22414499174540323,8,180.0
630.0,9,163.0,9.588235294117647,5.069900149929367,9,182.0,0.1803186735781835,9,182.0
645.0,8,146.0,9.125,4.184268798048887,8,189.0,0.16588036380871188,8,189.0
660.0,5,132.0,7.764705882352941,4.5706545911352014,5,177.0,0.1962667732610681,5,177.0
675.0,11,119.0,6.611111111111111,3.365693773716254,11,164.0,0.1287983943044683,11,164.0
690.0,11,243.0,13.5,3.60067621663171,11,288.0,0.1317491785352848,11,288.0
705.0,11,329.0,18.27777777777778,5.300542921079101,11,350.0,0.20819247356701914,11,350.0
